unit,tra_meas,airp_pr\time	2018Q2 	2018Q1 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 
FLIGHT,CAF_PAS,MK_LWSK_AT_LOWW	299 	253 	108 	99 	92 	94 	72 	87 
FLIGHT,CAF_PAS,MK_LWSK_BE_EBCI	78 	58 	26 	28 	24 	20 	16 	22 
FLIGHT,CAF_PAS,MK_LWSK_CH_LSZH	270 	227 	72 	84 	114 	80 	66 	81 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDDB	78 	57 	26 	26 	26 	20 	17 	20 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDDK	76 	78 	26 	26 	24 	26 	24 	28 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDFH	78 	54 	26 	28 	24 	18 	16 	20 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDJA	78 	76 	26 	28 	24 	27 	24 	25 
FLIGHT,CAF_PAS,MK_LWSK_DE_EDLW	78 	77 	26 	28 	24 	27 	24 	26 
FLIGHT,CAF_PAS,MK_LWSK_FR_LFSB	180 	165 	58 	62 	60 	58 	50 	57 
FLIGHT,CAF_PAS,MK_LWSK_HR_LDZA	268 	180 	98 	100 	70 	63 	56 	61 
FLIGHT,CAF_PAS,MK_LWSK_HU_LHBP	79 	78 	26 	29 	24 	28 	24 	26 
FLIGHT,CAF_PAS,MK_LWSK_SE_ESGG	92 	82 	30 	28 	34 	30 	24 	28 
FLIGHT,CAF_PAS,MK_LWSK_SE_ESMS	153 	132 	57 	42 	54 	46 	40 	46 
FLIGHT,CAF_PAS,MK_LWSK_SI_LJLJ	192 	192 	64 	66 	62 	71 	56 	65 
FLIGHT,CAF_PAS,MK_LWSK_SK_LZIB	227 	222 	74 	80 	73 	77 	67 	78 
FLIGHT,CAF_PAS,MK_LWSK_TR_LTBA	362 	355 	120 	124 	118 	123 	112 	120 
FLIGHT,CAF_PAS,MK_LWSK_TR_LTFJ	128 	128 	40 	44 	44 	46 	40 	42 
FLIGHT,CAF_PAS,MK_LWSK_UK_EGGW	122 	84 	42 	38 	42 	30 	24 	30 
FLIGHT,CAF_PAS_ARR,MK_LWSK_AT_LOWW	150 	128 	54 	50 	46 	48 	36 	44 
